student_id,name,gender,ethnicity,parent_education,lunch,test_prep,attendance_pct,study_hours_per_day,assignment_completion_pct,sleep_hours,social_media_hours,stress_level,extracurricular_hours,math,reading,writing,science,history,source,gender_encoded,ethnicity_encoded,parent_education_encoded,lunch_encoded,test_prep_encoded,final_score,pass_fail
33,Student_0033,female,group E,master's degree,free/reduced,none,84.2,4.5,80.5,7.8,0.9,5,4.3,56,72,65,68,80,kaggle,0,4,5,0,0,68.2,1
34,Student_0034,male,group D,some college,standard,none,71.7,3.5,68.5,6.3,0.0,5,1.3,40,42,38,40,54,kaggle,1,3,2,1,0,42.8,1
35,Student_0035,male,group E,some college,standard,none,95.7,5.0,96.8,7.9,0.5,4,2.4,97,87,82,97,78,kaggle,1,4,2,1,0,88.2,1
36,Student_0036,male,group E,associate's degree,standard,completed,83.0,6.3,100.0,8.1,2.5,7,4.3,81,81,79,86,93,kaggle,1,4,3,1,1,84.0,1
37,Student_0037,female,group D,associate's degree,standard,none,89.8,4.0,87.4,7.4,2.1,6,5.5,74,81,83,61,67,kaggle,0,3,3,1,0,73.2,1
38,Student_0038,female,group D,some high school,free/reduced,none,72.5,2.7,70.3,7.5,2.0,3,0.8,50,64,59,51,53,kaggle,0,3,0,0,0,55.4,1
39,Student_0039,female,group D,associate's degree,free/reduced,completed,83.7,5.4,87.0,7.0,1.4,5,5.6,75,90,88,58,84,kaggle,0,3,3,0,1,79.0,1
40,Student_0040,male,group B,associate's degree,free/reduced,none,83.0,4.7,60.9,7.2,1.6,4,4.5,57,56,57,53,78,kaggle,1,1,3,0,0,60.2,1
41,Student_0041,male,group C,associate's degree,free/reduced,none,85.7,5.2,68.5,7.8,2.5,5,4.7,55,61,54,66,59,kaggle,1,2,3,0,0,59.0,1
42,Student_0042,female,group C,associate's degree,standard,none,85.8,3.9,75.3,7.6,2.8,1,5.5,58,73,68,61,69,kaggle,0,2,3,1,0,65.8,1
43,Student_0043,female,group B,associate's degree,standard,none,82.0,4.8,70.7,6.9,0.6,3,6.6,53,58,65,62,52,kaggle,0,1,3,1,0,58.0,1
44,Student_0044,male,group B,some college,free/reduced,completed,82.5,4.1,77.7,7.6,2.4,2,3.0,59,65,66,50,74,kaggle,1,1,2,0,1,62.8,1
45,Student_0045,female,group E,associate's degree,free/reduced,none,73.6,3.5,65.9,7.9,3.3,5,3.3,50,56,54,63,66,kaggle,0,4,3,0,0,57.8,1
46,Student_0046,male,group B,associate's degree,standard,none,79.0,4.6,82.2,5.7,1.8,5,2.7,65,54,57,57,65,kaggle,1,1,3,1,0,59.6,1
47,Student_0047,female,group A,associate's degree,standard,completed,80.9,4.6,75.3,8.3,2.9,1,3.4,55,65,62,61,60,kaggle,0,0,3,1,1,60.6,1
48,Student_0048,female,group C,high school,standard,none,91.6,3.3,80.4,7.3,4.7,3,6.1,66,71,76,66,67,kaggle,0,2,1,1,0,69.2,1
49,Student_0049,female,group D,associate's degree,free/reduced,completed,87.4,5.6,77.2,7.9,1.8,5,1.7,57,74,76,54,63,kaggle,0,3,3,0,1,64.8,1
50,Student_0050,male,group C,high school,standard,completed,81.0,6.2,87.4,8.7,1.9,3,3.0,82,84,82,68,80,kaggle,1,2,1,1,1,79.2,1
51,Student_0051,male,group E,some college,standard,none,82.2,3.1,76.8,6.2,1.7,5,5.1,53,55,48,65,48,kaggle,1,4,2,1,0,53.8,1
52,Student_0052,male,group E,associate's degree,free/reduced,completed,84.5,4.9,74.6,7.0,2.0,4,5.4,77,69,68,74,59,kaggle,1,4,3,0,1,69.4,1
53,Student_0053,male,group C,some college,standard,none,75.5,3.7,63.6,7.0,3.1,5,2.3,53,44,42,62,46,kaggle,1,2,2,1,0,49.4,1
54,Student_0054,male,group D,high school,standard,none,92.2,5.2,83.0,7.1,1.8,3,5.5,88,78,75,81,71,kaggle,1,3,1,1,0,78.6,1
55,Student_0055,female,group C,some high school,free/reduced,completed,94.4,4.6,75.9,9.1,0.6,1,4.7,71,84,87,74,77,kaggle,0,2,0,0,1,78.6,1
56,Student_0056,female,group C,high school,free/reduced,none,81.4,2.4,58.8,6.4,3.0,3,4.8,33,41,43,31,53,kaggle,0,2,1,0,0,40.2,1
57,Student_0057,female,group E,associate's degree,standard,completed,86.1,5.2,83.8,7.3,2.9,4,4.5,82,85,86,76,82,kaggle,0,4,3,1,1,82.2,1
58,Student_0058,male,group D,associate's degree,standard,none,79.1,4.5,77.1,7.4,2.9,4,4.6,52,55,49,57,54,kaggle,1,3,3,1,0,53.4,1
59,Student_0059,male,group D,some college,standard,completed,84.2,4.4,76.0,6.4,3.2,4,7.3,58,59,58,76,63,kaggle,1,3,2,1,1,62.8,1
60,Student_0060,female,group C,some high school,free/reduced,none,72.6,1.2,50.9,6.3,3.5,5,2.3,0,17,10,30,20,kaggle,0,2,0,0,0,15.4,0
61,Student_0061,male,group E,bachelor's degree,free/reduced,completed,85.1,5.4,88.5,7.9,2.5,3,4.1,79,74,72,86,73,kaggle,1,4,4,0,1,76.8,1
62,Student_0062,male,group A,some high school,free/reduced,none,75.3,0.6,62.7,6.8,3.2,6,3.6,39,39,34,52,46,kaggle,1,0,0,0,0,42.0,1
63,Student_0063,male,group A,associate's degree,free/reduced,none,77.3,4.9,77.4,7.3,1.3,3,2.8,62,61,55,57,49,kaggle,1,0,3,0,0,56.8,1
64,Student_0064,female,group C,associate's degree,standard,none,81.0,3.3,80.9,7.2,2.1,1,7.5,69,80,71,72,82,kaggle,0,2,3,1,0,74.8,1
65,Student_0065,female,group D,some high school,standard,none,86.7,3.6,76.2,6.2,1.2,5,3.6,59,58,59,62,54,kaggle,0,3,0,1,0,58.4,1
66,Student_0066,male,group B,some high school,standard,none,91.0,3.3,72.9,7.7,1.4,3,3.2,67,64,61,58,65,kaggle,1,1,0,1,0,63.0,1
67,Student_0067,male,group D,some high school,free/reduced,none,76.5,1.9,47.8,8.5,3.0,4,1.3,45,37,37,46,55,kaggle,1,3,0,0,0,44.0,1
68,Student_0068,female,group C,some college,standard,none,90.6,5.4,78.4,7.5,2.2,6,5.4,60,72,74,63,80,kaggle,0,2,2,1,0,69.8,1
69,Student_0069,male,group B,associate's degree,free/reduced,none,84.3,3.5,84.1,7.6,1.1,4,4.6,61,58,56,74,61,kaggle,1,1,3,0,0,62.0,1
70,Student_0070,female,group C,associate's degree,standard,none,77.8,3.9,78.2,7.9,3.5,4,2.4,39,64,57,38,60,kaggle,0,2,3,1,0,51.6,1
71,Student_0071,female,group D,some college,free/reduced,completed,86.2,4.2,84.1,6.5,2.6,2,4.5,58,63,73,71,76,kaggle,0,3,2,0,1,68.2,1
72,Student_0072,male,group D,some college,standard,completed,90.8,4.4,83.8,8.8,1.5,3,1.2,63,55,63,54,67,kaggle,1,3,2,1,1,60.4,1
73,Student_0073,female,group A,associate's degree,free/reduced,none,78.8,3.4,69.0,7.4,1.1,5,3.1,41,51,48,40,50,kaggle,0,0,3,0,0,46.0,1
74,Student_0074,male,group C,some high school,free/reduced,none,90.2,2.9,75.4,8.7,2.1,1,4.0,61,57,56,70,54,kaggle,1,2,0,0,0,59.6,1
75,Student_0075,male,group C,some high school,standard,none,65.8,4.1,63.8,6.6,2.2,4,5.4,49,49,41,60,35,kaggle,1,2,0,1,0,46.8,1
76,Student_0076,male,group B,associate's degree,free/reduced,none,81.4,2.7,63.3,8.6,2.9,4,1.5,44,41,38,59,48,kaggle,1,1,3,0,0,46.0,1
77,Student_0077,male,group E,some high school,standard,none,73.2,1.1,62.3,7.5,2.9,5,0.1,30,26,22,46,35,kaggle,1,4,0,1,0,31.8,0
78,Student_0078,male,group A,bachelor's degree,standard,completed,87.4,4.6,93.3,8.1,0.0,5,2.8,80,78,81,91,86,kaggle,1,0,4,1,1,83.2,1
79,Student_0079,female,group D,some high school,standard,completed,86.2,5.7,78.5,7.7,1.5,4,1.8,61,74,72,71,75,kaggle,0,3,0,1,1,70.6,1
80,Student_0080,female,group E,master's degree,standard,none,74.9,5.0,74.8,7.3,1.7,6,5.6,62,68,68,63,79,kaggle,0,4,5,1,0,68.0,1
81,Student_0081,female,group B,associate's degree,standard,none,78.5,3.2,69.3,8.2,3.2,3,5.3,47,49,50,56,49,kaggle,0,1,3,1,0,50.2,1
82,Student_0082,male,group B,high school,free/reduced,none,80.7,3.0,72.4,7.3,1.9,4,3.3,49,45,45,63,60,kaggle,1,1,1,0,0,52.4,1
83,Student_0083,male,group A,some college,free/reduced,completed,87.5,3.3,60.1,5.7,4.2,4,4.8,50,47,54,47,51,kaggle,1,0,2,0,1,49.8,1
84,Student_0084,male,group E,associate's degree,standard,none,82.3,6.0,62.1,6.6,0.1,2,3.9,72,64,63,62,71,kaggle,1,4,3,1,0,66.4,1
85,Student_0085,male,group D,high school,free/reduced,none,72.5,3.2,60.3,6.9,4.2,6,2.4,42,39,34,46,33,kaggle,1,3,1,0,0,38.8,0
86,Student_0086,female,group C,some college,standard,none,86.0,5.3,75.6,7.9,1.4,7,3.6,73,80,82,56,80,kaggle,0,2,2,1,0,74.2,1
87,Student_0087,female,group C,some college,free/reduced,none,94.3,5.9,82.6,7.7,2.4,3,3.8,76,83,88,76,66,kaggle,0,2,2,0,0,77.8,1
88,Student_0088,female,group D,associate's degree,standard,none,88.2,4.8,80.0,8.6,1.9,4,1.6,71,71,74,54,70,kaggle,0,3,3,1,0,68.0,1
89,Student_0089,female,group A,some college,standard,none,81.9,4.0,74.3,5.9,3.2,4,4.0,58,70,67,64,72,kaggle,0,0,2,1,0,66.2,1
90,Student_0090,female,group D,some high school,standard,none,91.7,4.9,95.3,7.8,1.2,2,4.2,73,86,82,81,76,kaggle,0,3,0,1,0,79.6,1
91,Student_0091,female,group C,bachelor's degree,standard,none,86.6,4.5,82.5,6.1,0.8,1,4.9,65,72,74,63,64,kaggle,0,2,4,1,0,67.6,1
92,Student_0092,male,group C,high school,free/reduced,none,79.5,2.6,63.3,7.6,4.5,3,2.4,27,34,36,54,50,kaggle,1,2,1,0,0,40.2,1
93,Student_0093,male,group C,high school,standard,none,83.6,5.3,86.2,7.5,1.7,1,3.7,71,79,71,60,73,kaggle,1,2,1,1,0,70.8,1
94,Student_0094,male,group C,associate's degree,free/reduced,completed,77.2,3.3,60.0,7.5,2.8,7,1.5,43,45,50,60,49,kaggle,1,2,3,0,1,49.4,1
95,Student_0095,female,group B,some college,standard,none,88.7,5.9,95.1,7.1,2.7,3,4.5,79,86,92,82,84,kaggle,0,1,2,1,0,84.6,1
96,Student_0096,male,group C,associate's degree,free/reduced,completed,81.8,5.0,84.6,8.7,0.6,3,5.3,78,81,82,61,100,kaggle,1,2,3,0,1,80.4,1
97,Student_0097,male,group B,some high school,standard,completed,85.8,4.3,81.9,8.3,2.7,5,1.9,65,66,62,87,75,kaggle,1,1,0,1,1,71.0,1
98,Student_0098,female,group E,some college,standard,completed,86.8,2.8,71.7,8.0,1.4,2,3.9,63,72,70,66,80,kaggle,0,4,2,1,1,70.2,1
99,Student_0099,female,group D,some college,free/reduced,none,83.7,4.8,65.3,7.3,2.0,2,3.8,58,67,62,56,69,kaggle,0,3,2,0,0,62.4,1
100,Student_0100,female,group D,bachelor's degree,standard,none,83.2,4.5,83.1,7.9,2.1,4,2.5,65,67,62,54,67,kaggle,0,3,4,1,0,63.0,1
101,Student_0101,male,group B,some college,standard,none,79.2,5.3,83.1,7.0,0.4,5,3.0,79,67,67,69,49,kaggle,1,1,2,1,0,66.2,1
102,Student_0102,male,group D,bachelor's degree,standard,completed,84.5,2.3,74.7,8.3,1.1,4,4.2,68,74,74,68,68,kaggle,1,3,4,1,1,70.4,1
103,Student_0103,female,group D,associate's degree,standard,none,89.8,7.1,83.1,9.1,2.7,3,2.8,85,91,89,82,81,kaggle,0,3,3,1,0,85.6,1
104,Student_0104,male,group B,high school,standard,completed,76.1,3.4,78.0,8.1,3.4,4,3.5,60,44,47,54,37,kaggle,1,1,1,1,1,48.4,1
105,Student_0105,male,group C,some college,standard,completed,91.6,6.5,82.3,7.3,1.2,3,3.3,98,86,90,90,74,kaggle,1,2,2,1,1,87.6,1
106,Student_0106,female,group C,some college,standard,none,86.7,3.5,89.3,7.8,2.3,4,5.2,58,67,72,60,54,kaggle,0,2,2,1,0,62.2,1
107,Student_0107,female,group D,master's degree,standard,none,100.0,6.3,86.5,6.9,0.8,1,8.3,87,100,100,69,92,kaggle,0,3,5,1,0,89.6,1
108,Student_0108,male,group E,associate's degree,standard,completed,85.2,3.4,81.6,7.9,3.4,4,2.3,66,63,64,64,72,kaggle,1,4,3,1,1,65.8,1
109,Student_0109,female,group B,associate's degree,free/reduced,none,86.1,3.8,75.7,7.9,1.8,2,4.4,52,76,70,44,81,kaggle,0,1,3,0,0,64.6,1
110,Student_0110,female,group B,some high school,standard,none,85.2,6.0,83.6,6.0,2.2,4,2.7,70,64,72,70,72,kaggle,0,1,0,1,0,69.6,1
111,Student_0111,female,group D,associate's degree,free/reduced,completed,81.8,5.2,85.2,6.9,2.5,2,6.1,77,89,98,69,80,kaggle,0,3,3,0,1,82.6,1
112,Student_0112,male,group C,high school,standard,none,81.5,3.9,71.5,7.1,1.6,8,1.3,62,55,49,62,41,kaggle,1,2,1,1,0,53.8,1
113,Student_0113,male,group A,associate's degree,standard,none,80.7,4.3,71.0,7.0,4.0,4,3.8,54,53,47,68,41,kaggle,1,0,3,1,0,52.6,1
114,Student_0114,female,group D,some college,standard,none,93.6,4.1,65.2,6.3,0.8,2,1.9,51,58,54,50,49,kaggle,0,3,2,1,0,52.4,1
115,Student_0115,female,group E,bachelor's degree,standard,completed,93.9,6.1,100.0,8.3,2.6,2,4.7,99,100,100,98,85,kaggle,0,4,4,1,1,96.4,1
116,Student_0116,male,group C,high school,standard,none,90.0,5.2,80.6,7.9,1.3,4,2.6,84,77,74,73,73,kaggle,1,2,1,1,0,76.2,1
117,Student_0117,female,group B,bachelor's degree,free/reduced,none,89.0,7.0,83.7,7.6,1.3,6,5.5,75,85,82,89,72,kaggle,0,1,4,0,0,80.6,1
118,Student_0118,female,group D,bachelor's degree,standard,none,83.1,4.9,77.9,7.1,0.0,2,2.9,78,82,79,72,81,kaggle,0,3,4,1,0,78.4,1
119,Student_0119,female,group D,some high school,standard,none,88.2,4.1,56.2,8.2,1.8,1,4.2,51,63,61,52,62,kaggle,0,3,0,1,0,57.8,1
120,Student_0120,female,group C,some college,standard,none,87.7,5.0,75.2,8.8,1.1,5,3.0,55,69,65,68,68,kaggle,0,2,2,1,0,65.0,1
121,Student_0121,female,group C,bachelor's degree,standard,completed,95.0,6.2,100.0,7.4,0.8,1,4.3,79,92,89,75,95,kaggle,0,2,4,1,1,86.0,1
122,Student_0122,male,group B,associate's degree,standard,completed,87.7,6.5,95.8,7.4,1.1,2,4.8,91,89,92,76,76,kaggle,1,1,3,1,1,84.8,1
123,Student_0123,female,group C,some college,standard,completed,99.4,6.1,90.5,8.3,2.2,2,3.5,88,93,93,79,91,kaggle,0,2,2,1,1,88.8,1
124,Student_0124,male,group D,high school,free/reduced,none,75.6,3.0,72.5,7.1,2.4,4,3.7,63,57,56,61,60,kaggle,1,3,1,0,0,59.4,1
125,Student_0125,male,group E,some college,standard,none,91.5,6.2,84.5,7.6,1.9,4,6.4,83,80,73,87,72,kaggle,1,4,2,1,0,79.0,1
126,Student_0126,female,group B,high school,standard,none,100.0,4.5,93.5,8.4,0.2,2,3.4,87,95,86,67,93,kaggle,0,1,1,1,0,85.6,1
127,Student_0127,male,group B,some high school,standard,none,80.7,4.7,71.2,6.0,1.0,3,5.5,72,68,67,69,75,kaggle,1,1,0,1,0,70.2,1
128,Student_0128,male,group D,some college,standard,completed,83.8,4.0,88.8,8.6,3.6,3,6.1,65,77,74,74,67,kaggle,1,3,2,1,1,71.4,1
129,Student_0129,male,group D,master's degree,standard,none,89.3,4.9,89.7,7.7,0.9,3,2.9,82,82,74,78,75,kaggle,1,3,5,1,0,78.2,1
130,Student_0130,female,group A,bachelor's degree,standard,none,77.6,3.8,75.2,6.9,4.1,4,0.8,51,49,51,65,57,kaggle,0,0,4,1,0,54.6,1
131,Student_0131,male,group D,master's degree,standard,none,82.7,5.5,90.6,7.7,1.2,4,4.9,89,84,82,80,78,kaggle,1,3,5,1,0,82.6,1
132,Student_0132,male,group C,some high school,free/reduced,completed,78.3,3.5,66.8,7.1,2.7,5,1.9,53,37,40,50,51,kaggle,1,2,0,0,1,46.2,1
133,Student_0133,male,group E,some college,free/reduced,completed,82.8,6.1,88.2,6.3,2.8,4,6.9,87,74,70,81,74,kaggle,1,4,2,0,1,77.2,1
134,Student_0134,female,group C,some college,standard,completed,91.4,5.4,89.1,8.9,2.9,4,4.3,75,81,84,75,94,kaggle,0,2,2,1,1,81.8,1
135,Student_0135,male,group D,bachelor's degree,free/reduced,completed,83.2,4.6,80.5,7.7,1.6,1,2.8,74,79,75,70,63,kaggle,1,3,4,0,1,72.2,1
136,Student_0136,male,group C,bachelor's degree,standard,none,88.8,4.5,67.8,7.7,2.0,4,1.4,58,55,48,63,55,kaggle,1,2,4,1,0,55.8,1
137,Student_0137,male,group B,some high school,standard,completed,75.7,4.4,70.0,8.0,2.5,5,4.6,51,54,41,51,46,kaggle,1,1,0,1,1,48.6,1
138,Student_0138,male,group E,high school,standard,none,81.5,3.0,86.0,6.6,2.5,5,2.6,70,55,56,59,64,kaggle,1,4,1,1,0,60.8,1
139,Student_0139,female,group C,associate's degree,standard,none,88.3,4.7,68.3,7.8,3.0,3,3.6,59,66,67,59,54,kaggle,0,2,3,1,0,61.0,1
140,Student_0140,male,group D,some college,standard,completed,78.9,4.9,68.2,7.3,2.0,3,5.1,71,61,69,77,69,kaggle,1,3,2,1,1,69.4,1
141,Student_0141,female,group D,some high school,standard,none,88.0,4.4,82.7,8.3,2.4,2,3.2,76,72,71,46,66,kaggle,0,3,0,1,0,66.2,1
142,Student_0142,female,group C,some college,free/reduced,none,90.0,5.2,76.2,5.7,3.8,4,3.4,59,62,64,65,59,kaggle,0,2,2,0,0,61.8,1
143,Student_0143,female,group E,some college,free/reduced,completed,72.1,3.4,71.4,7.2,2.9,6,3.0,42,55,54,53,47,kaggle,0,4,2,0,1,50.2,1
144,Student_0144,male,group A,high school,standard,none,80.6,3.6,71.2,6.8,2.8,3,4.0,57,43,47,42,47,kaggle,1,0,1,1,0,47.2,1
145,Student_0145,male,group D,some college,standard,none,90.2,4.8,83.3,8.0,0.1,4,5.1,88,73,78,79,83,kaggle,1,3,2,1,0,80.2,1
146,Student_0146,female,group C,some college,free/reduced,none,78.3,2.6,71.1,7.3,0.4,5,1.9,22,39,33,44,44,kaggle,0,2,2,0,0,36.4,0
147,Student_0147,male,group B,some high school,standard,none,83.5,4.2,75.0,7.2,1.9,3,4.4,88,84,75,85,82,kaggle,1,1,0,1,0,82.8,1
148,Student_0148,male,group C,associate's degree,free/reduced,none,79.1,3.3,73.7,7.0,1.8,3,3.2,73,68,66,48,81,kaggle,1,2,3,0,0,67.2,1
149,Student_0149,female,group D,bachelor's degree,standard,completed,90.0,6.0,81.6,7.5,1.2,4,1.8,68,75,81,80,78,kaggle,0,3,4,1,1,76.4,1
150,Student_0150,male,group E,associate's degree,free/reduced,completed,95.8,5.2,82.3,7.2,1.3,3,5.3,100,100,93,84,86,kaggle,1,4,3,0,1,92.6,1
151,Student_0151,male,group A,some high school,standard,completed,86.1,3.5,76.8,8.2,2.0,7,6.5,62,67,69,70,72,kaggle,1,0,0,1,1,68.0,1
152,Student_0152,male,group A,bachelor's degree,standard,none,87.9,2.8,92.0,7.3,3.0,2,2.5,77,67,68,76,64,kaggle,1,0,4,1,0,70.4,1
153,Student_0153,female,group B,associate's degree,standard,completed,81.1,3.7,77.6,5.1,2.1,4,2.4,59,70,66,57,65,kaggle,0,1,3,1,1,63.4,1
154,Student_0154,male,group D,bachelor's degree,standard,none,81.2,2.4,71.6,7.0,1.8,3,1.7,54,49,47,61,41,kaggle,1,3,4,1,0,50.4,1
155,Student_0155,male,group D,some high school,standard,none,85.5,5.5,67.8,6.6,3.1,2,4.6,62,67,61,61,73,kaggle,1,3,0,1,0,64.8,1
156,Student_0156,female,group C,some college,standard,completed,86.1,5.9,81.9,6.4,1.3,3,5.0,70,89,88,58,81,kaggle,0,2,2,1,1,77.2,1
157,Student_0157,female,group E,high school,free/reduced,completed,96.1,4.1,78.7,6.6,2.3,4,3.7,66,74,78,77,76,kaggle,0,4,1,0,1,74.2,1
158,Student_0158,male,group B,some college,free/reduced,none,85.4,5.8,72.8,7.5,1.7,8,2.0,60,60,60,55,54,kaggle,1,1,2,0,0,57.8,1
159,Student_0159,female,group B,associate's degree,standard,completed,82.4,5.7,93.0,8.7,1.0,3,4.3,61,86,87,63,86,kaggle,0,1,3,1,1,76.6,1
160,Student_0160,male,group D,associate's degree,free/reduced,none,87.5,3.9,80.9,7.7,2.2,2,1.2,66,62,64,61,59,kaggle,1,3,3,0,0,62.4,1
161,Student_0161,male,group B,associate's degree,free/reduced,completed,83.5,2.9,76.2,7.2,1.7,4,4.3,82,78,74,78,73,kaggle,1,1,3,0,1,77.0,1
162,Student_0162,female,group E,some college,free/reduced,completed,93.7,7.0,88.1,8.1,2.0,1,5.6,75,88,85,75,89,kaggle,0,4,2,0,1,82.4,1
163,Student_0163,male,group B,master's degree,free/reduced,none,86.2,2.5,74.2,6.9,2.2,4,1.2,49,53,52,59,63,kaggle,1,1,5,0,0,55.2,1
164,Student_0164,male,group C,high school,standard,none,76.3,2.3,78.6,6.7,0.6,4,0.8,52,53,49,45,56,kaggle,1,2,1,1,0,51.0,1
165,Student_0165,female,group E,master's degree,standard,none,96.2,6.2,100.0,6.9,0.9,4,6.9,81,92,91,74,72,kaggle,0,4,5,1,0,82.0,1
166,Student_0166,female,group C,bachelor's degree,standard,completed,96.7,7.9,87.2,6.6,1.8,4,4.0,96,100,100,87,100,kaggle,0,2,4,1,1,96.6,1
167,Student_0167,male,group C,high school,free/reduced,completed,84.6,4.7,65.2,7.0,2.2,3,4.8,53,51,51,71,70,kaggle,1,2,1,0,1,59.2,1
168,Student_0168,female,group B,master's degree,free/reduced,completed,95.7,5.0,71.5,7.7,1.6,3,3.6,58,76,78,65,81,kaggle,0,1,5,0,1,71.6,1
169,Student_0169,female,group B,high school,standard,completed,86.7,5.3,81.5,7.6,2.7,2,3.8,68,83,78,80,72,kaggle,0,1,1,1,1,76.2,1
